classification	db_link	observation_name	SC1703-104_TTGCCC-B6TML_L001_R	SC1703-105_CAGTCT-B6TML_L001_R	SC1703-106_TTAAAT-B6TML_L001_R	SC1703-107_AATTGC-B6TML_L001_R	SC1703-108_ACTCGA-B6TML_L001_R	SC1703-109_GTTACC-B6TML_L001_R	SC1703-110_CAGATG-B6TML_L001_R	SC1703-125_TCGCGC-B6TML_L001_R	SC1703-126_TAACTT-B6TML_L001_R	SC1703-127_CTGTAA-B6TML_L001_R	SC1703-128_CCATTG-B6TML_L001_R	SC1703-129_TAGGCT-B6TML_L001_R	SC1703-130_TTCTTG-B6TML_L001_R	SC1703-131_CCGACC-B6TML_L001_R	SC1703-132_TTAGCT-B6TML_L001_R	SC1703-133_CAGAGC-B6TML_L001_R	SC1703-134_AATATG-B6TML_L001_R	SC1703-135_TGAGCA-B6TML_L001_R	SC1703-136_AATCAC-B6TML_L001_R	SC1703-137_GGTAGC-B6TML_L001_R	SC1703-138_CTCTCG-B6TML_L001_R	SC1703-145_AGCGAC-B6TML_L001_R	SC1703-146_GCCAAG-B6TML_L001_R	SC1703-147_AGGTTC-B6TML_L001_R	SC1703-148_TTTTTC-B6TML_L001_R	SC1703-149_GTCGTG-B6TML_L001_R	SC1703-150_GCTATC-B6TML_L001_R	SC1703-151_TATGCG-B6TML_L001_R	SC1703-41_TCGTTC-B6TML_L001_R	SC1703-42_GCGATG-B6TML_L001_R	SC1703-43_ATATAA-B6TML_L001_R	SC1703-44_ATACTG-B6TML_L001_R	SC1703-45_GGAGAG-B6TML_L001_R	SC1703-46_ACGAGA-B6TML_L001_R	SC1703-47_ATTACA-B6TML_L001_R	SC1703-48_TGATTT-B6TML_L001_R	SC1703-49_GGGGTG-B6TML_L001_R	SC1703-50_ACAAAA-B6TML_L001_R	SC1703-51_CTCCAG-B6TML_L001_R	SC1703-52_GGTGTT-B6TML_L001_R	SC1703-53_CGGGAG-B6TML_L001_R	SC1703-54_TGGTAG-B6TML_L001_R	SC1703-62_TGCGGG-B6TML_L001_R	SC1703-63_TCTATG-B6TML_L001_R	SC1703-64_GGACGG-B6TML_L001_R	SC1703-65_AGAGGG-B6TML_L001_R	SC1703-66_ATGAAC-B6TML_L001_R	SC1703-67_TACCTG-B6TML_L001_R	SC1703-68_CTAGAG-B6TML_L001_R	SC1703-83_CTTGCA-B6TML_L001_R	SC1703-84_CATGTT-B6TML_L001_R	SC1703-85_TGGATT-B6TML_L001_R	SC1703-86_AACGCA-B6TML_L001_R	SC1703-87_TTCGAG-B6TML_L001_R	SC1703-88_AAGCTA-B6TML_L001_R	SC1703-89_AGTTTG-B6TML_L001_R	SC1703-90_TCCCCA-B6TML_L001_R	SC1703-91_AACTAG-B6TML_L001_R	SC1703-92_GTTCGC-B6TML_L001_R	SC1703-93_TGCCTT-B6TML_L001_R	SC1703-94_ATAAGA-B6TML_L001_R	SC1703-95_CACACT-B6TML_L001_R	SC1703-96_ACAGTT-B6TML_L001_R
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.1	EC:1.1.1.1	10937	21568	22912	30967	15764	7394	14257	8139	21831	40099	33944	36207	18113	37099	29436	19640	15087	28286	18217	20304	32524	10460	10795	10171	14299	8535	13752	7508	14924	7729	18573	18865	13270	15035	21741	20772	16731	15853	19760	23086	16225	22163	18355	16365	10974	17803	28371	13969	20106	14717	16212	22396	21263	26409	13764	16760	23047	35566	37117	35318	26832	33037	24795
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.100	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.100	EC:1.1.1.100	19088	40567	38318	50204	24510	14219	27066	22529	55798	76863	78641	88958	35444	81237	51887	40345	41090	83814	56914	48196	69476	23294	15391	18587	27786	14210	23046	12200	31362	11706	26710	29946	35204	13957	55274	52190	41080	20386	46839	46825	32982	49318	30293	35316	23344	33890	44339	24590	38844	30516	30049	63704	32959	71044	32393	40039	78044	95183	90201	86953	71718	84572	67538
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.103	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.103	EC:1.1.1.103	332	1645	2018	2420	1140	485	1092	3052	7873	852	7765	10654	402	6842	5618	3807	3636	3346	7832	4496	6082	269	1314	228	452	306	471	113	6019	1448	5281	3520	7166	4199	10786	7921	5412	3886	7737	6364	3874	5316	577	2348	950	684	1263	1348	697	4834	4807	12409	1756	14386	5668	6025	8666	13854	6057	15925	10720	12010	9281
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.108	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.108	EC:1.1.1.108	350	336	1010	520	280	676	632	2110	982	9000	2012	896	3294	2382	646	1364	1542	1020	1678	2464	1416	22	396	52	448	64	100	22	1118	526	562	5294	142	1052	1750	2044	1224	206	538	742	764	542	716	1738	592	696	1172	736	1254	2768	3600	1226	6276	2998	1956	6350	3722	3902	3776	3310	2710	1822	2832
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.122	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.122	EC:1.1.1.122	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.125	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.125	EC:1.1.1.125	332	1645	2018	2420	1140	485	1092	3052	7873	852	7765	10654	402	6842	5618	3807	3636	3346	7832	4496	6082	269	1314	228	452	306	471	113	6019	1448	5281	3520	7166	4199	10786	7921	5412	3886	7737	6364	3874	5316	577	2348	950	684	1263	1348	697	4834	4807	12409	1756	14386	5668	6025	8666	13854	6057	15925	10720	12010	9281
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.130	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.130	EC:1.1.1.130	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.133	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.133	EC:1.1.1.133	1996	1495	1698	2866	1626	975	2425	1934	10224	24392	20309	20167	12912	22678	8027	5763	6256	21177	4242	7144	8842	5604	956	1872	4211	1662	1632	1726	1620	1204	1268	2932	2023	846	2827	5118	4838	3023	5557	7101	4892	6793	1360	994	1709	754	4272	862	1912	2428	763	1775	7291	2969	1280	1202	7251	8850	13520	6312	8576	9666	7274
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.136	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.136	EC:1.1.1.136	233	1305	1338	1495	598	348	395	2874	7160	25	6914	9935	15	5834	3173	2776	3139	3049	7358	3516	4819	89	768	158	205	63	204	72	4631	496	2803	1551	6231	1344	9366	7343	4415	1522	7335	5823	3464	5127	225	1457	465	425	578	445	271	3593	3408	11535	45	12854	4777	5248	8442	12633	5259	13924	9587	10678	8315
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.14	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.14	EC:1.1.1.14	3876	10318	11566	11646	5484	5501	8904	21382	43520	60111	56978	65992	25200	57490	24954	22500	24498	37384	39165	31359	34238	5918	5207	3193	7068	2442	3405	1444	27434	7662	20942	30797	29500	13118	49916	39137	29708	11574	34065	28434	19793	30590	5725	19378	8230	8705	10457	8884	10116	28608	30036	57379	31753	67818	30229	45995	52630	73799	52961	74182	56724	62770	51533
